ID,Name,Top 10,Top Ten Themes,Bottom 5,Bottom Themes,,,
107,15,,#N/A,-,-,,,
108,15,,#N/A,-,-,,,
109,15,,#N/A,-,-,,,
110,15,,#N/A,-,-,,,
111,18,Intellection,Strategic Thinking,Includer,Relationship Building,,,
112,18,Connectedness,Relationship Building,Significance,Influencing,,,
113,18,Maximizer,Influencing,Context,Strategic Thinking,,,
114,18,Relator,Relationship Building,Restorative,Executing,,,
115,18,Learner,Strategic Thinking,Woo,Influencing,,,
116,18,Futuristic,Strategic Thinking,-,-,,,
117,18,Developer,Relationship Building,-,-,,,
118,18,Achiever,Executing,-,-,,,
119,18,Arranger,Executing,-,-,,,
120,18,Individualization,Relationship Building,-,-,,,
121,24,Relator,Relationship Building,Context,Strategic Thinking,,,
122,24,Achiever,Executing,Strategic,Strategic Thinking,,,
123,24,Maximizer,Influencing,Harmony,Relationship Building,,,
124,24,Individualization,Relationship Building,Discipline,Executing,,,
125,24,Responsibility,Executing,Consistency,Executing,,,
126,24,Arranger,Executing,-,-,,,
127,24,Significance,Influencing,-,-,,,
128,24,Learner,Strategic Thinking,-,-,,,
129,24,Activator,Influencing,-,-,,,
130,24,Focus,Executing,-,-,,,
131,16,Relator,Relationship Building,,-,,,
132,16,Strategic,Strategic Thinking,,-,,,
133,16,Competition,Influencing,,-,,,
134,16,Ideation,Strategic Thinking,,-,,,
135,16,Maximizer,Influencing,,-,,,
136,16,,#N/A,-,-,,,
137,16,,#N/A,-,-,,,
138,16,,#N/A,-,-,,,
139,16,,#N/A,-,-,,,
140,16,,#N/A,-,-,,,
141,11,Self-Assurance,Influencing,Deliberate,Executing,,,
142,11,Activator,Influencing,Adaptability,Relationship Building,,,
143,11,Futuristic,Strategic Thinking,Connectedness,Relationship Building,,,
144,11,Individualization,Relationship Building,Harmony,Relationship Building,,,
145,11,Command,Influencing,Consistency,Executing,,,
146,11,Restorative,Executing,-,-,,,
147,11,Significance,Influencing,-,-,,,
148,11,Context,Strategic Thinking,-,-,,,
149,11,Ideation,Strategic Thinking,-,-,,,
150,11,Developer,Relationship Building,-,-,,,
151,22,Discipline,Executing,Context,Strategic Thinking,,,
152,22,Woo,Influencing,Deliberate,Executing,,,
153,22,Communication,Influencing,Maximizer,Influencing,,,
154,22,Analytical,Strategic Thinking,Empathy,Relationship Building,,,
155,22,Futuristic,Strategic Thinking,Adaptability,Relationship Building,,,
156,22,Individualization,Relationship Building,-,-,,,
157,22,Relator,Relationship Building,-,-,,,
158,22,Responsibility,Executing,-,-,,,
159,22,Focus,Executing,-,-,,,
160,22,Positivity,Relationship Building,-,-,,,
161,13,Communication,Influencing,Adaptability,Relationship Building,,,
162,13,Significance,Influencing,Input,Strategic Thinking,,,
163,13,Woo,Influencing,Deliberate,Executing,,,
164,13,Positivity,Relationship Building,Intellection,Strategic Thinking,,,
165,13,Individualization,Relationship Building,Ideation,Strategic Thinking,,,
166,13,Arranger,Executing,-,-,,,
167,13,Relator,Relationship Building,-,-,,,
168,13,Harmony,Relationship Building,-,-,,,
169,13,Developer,Relationship Building,-,-,,,
170,13,Focus,Executing,-,-,,,
171,20,Individualization,Relationship Building,Context,Strategic Thinking,,,
172,20,Activator,Influencing,Deliberate,Executing,,,
173,20,Ideation,Strategic Thinking,Consistency,Executing,,,
174,20,Connectedness,Relationship Building,Discipline,Executing,,,
175,20,Futuristic,Strategic Thinking,Harmony,Relationship Building,,,
176,20,Strategic,Strategic Thinking,-,-,,,
177,20,Learner,Strategic Thinking,-,-,,,
178,20,Achiever,Executing,-,-,,,
179,20,Adaptability,Relationship Building,-,-,,,
180,20,Arranger,Executing,-,-,,,
181,19,Achiever,Executing,Competition,Influencing,,,
182,19,Strategic,Strategic Thinking,Adaptability,Relationship Building,,,
183,19,Maximizer,Influencing,Empathy,Relationship Building,,,
184,19,Connectedness,Relationship Building,Deliberate,Executing,,,
185,19,Individualization,Relationship Building,Restorative,Executing,,,
186,19,Activator,Influencing,,-,,,
187,19,Positivity,Relationship Building,,-,,,
188,19,Arranger,Executing,,-,,,
189,19,Intellection,Strategic Thinking,,-,,,
190,19,Learner,Strategic Thinking,,-,,,
191,12,Maximizer,Influencing,Woo,Influencing,,,
192,12,Futuristic,Strategic Thinking,Harmony,Relationship Building,,,
193,12,Learner,Strategic Thinking,Consistency,Executing,,,
194,12,Strategic,Strategic Thinking,Discipline,Executing,,,
195,12,Activator,Influencing,Restorative,Executing,,,
196,12,Connectedness,Relationship Building,,-,,,
197,12,Relator,Relationship Building,,-,,,
198,12,Arranger,Executing,,-,,,
199,12,Ideation,Strategic Thinking,,-,,,
200,12,Input,Strategic Thinking,,-,,,
201,23,Individualization,Relationship Building,Command,Influencing,,,
202,23,Responsibility,Executing,Includer,Relationship Building,,,
203,23,Futuristic,Strategic Thinking,Competition,Influencing,,,
204,23,Analytical,Strategic Thinking,Woo,Influencing,,,
205,23,Arranger,Executing,Empathy,Relationship Building,,,
206,23,Discipline,Executing,,-,,,
207,23,Input,Strategic Thinking,,-,,,
208,23,Relator,Relationship Building,,-,,,
209,23,Learner,Strategic Thinking,,-,,,
210,23,Developer,Relationship Building,,-,,,
211,21,Context,Strategic Thinking,Restorative,Executing,,,
212,21,Ideation,Strategic Thinking,Competition,Influencing,,,
213,21,Input,Strategic Thinking,Deliberate,Executing,,,
214,21,Individualization,Relationship Building,Consistency,Executing,,,
215,21,Learner,Strategic Thinking,Significance,Influencing,,,
216,21,Intellection,Strategic Thinking,,-,,,
217,21,Connectedness,Relationship Building,,-,,,
218,21,Analytical,Strategic Thinking,,-,,,
219,21,Relator,Relationship Building,,-,,,
220,21,Positivity,Relationship Building,,-,,,
