,id,name,top_ten,top_theme
192,193,12,Learner,Strategic Thinking
193,194,12,Strategic,Strategic Thinking
194,195,12,Activator,Influencing
195,196,12,Connectedness,Relationship Building
196,197,12,Relator,Relationship Building
197,198,12,Arranger,Executing
198,199,12,Ideation,Strategic Thinking
199,200,12,Input,Strategic Thinking
200,201,23,Individualization,Relationship Building
201,202,23,Responsibility,Executing
202,203,23,Futuristic,Strategic Thinking
203,204,23,Analytical,Strategic Thinking
204,205,23,Arranger,Executing
205,206,23,Discipline,Executing
206,207,23,Input,Strategic Thinking
207,208,23,Relator,Relationship Building
208,209,23,Learner,Strategic Thinking
209,210,23,Developer,Relationship Building
210,211,21,Context,Strategic Thinking
211,212,21,Ideation,Strategic Thinking
212,213,21,Input,Strategic Thinking
213,214,21,Individualization,Relationship Building
214,215,21,Learner,Strategic Thinking
215,216,21,Intellection,Strategic Thinking
216,217,21,Connectedness,Relationship Building
217,218,21,Analytical,Strategic Thinking
218,219,21,Relator,Relationship Building
219,220,21,Positivity,Relationship Building
